#{"t_start": 1760280498.826967, "env_id": "None"}
r,l,t
545.449972,200,16.721325
365.399966,200,16.90649
517.699973,200,17.10031
405.74996,200,17.270628
473.899972,200,17.457786
425.799969,200,17.677021
365.249962,200,17.896744
506.649971,200,18.093117
500.499973,200,18.334326
568.549974,200,18.561788
1267.549978,200,31.280778
1190.599973,200,31.464063
2135.249991,200,31.635992
1469.949974,200,31.824285
1916.949976,200,32.074252
1740.549984,200,32.312645
1420.349984,200,32.502946
1159.049979,200,32.66609
1200.649977,200,32.848092
1713.999986,200,33.024245
421.549959,200,47.676898
1505.549982,200,47.926534
1370.999984,200,48.165188
623.449965,200,48.364681
654.649966,200,48.546803
576.349964,200,48.771242
1945.499989,200,48.927756
852.299969,200,49.216335
1535.349984,200,49.388666
1381.399981,200,49.588987
1293.299979,200,58.523909
686.449967,200,58.628002
635.899966,200,58.732047
1398.099981,200,58.834737
1914.799986,200,58.936919
1810.949993,200,59.045539
1847.649992,200,59.188016
754.149972,200,59.368824
1866.499991,200,59.514529
1644.299982,200,59.65327
831.499962,200,69.736497
1482.649985,200,69.85093
1834.699982,200,69.962396
1358.699984,200,70.089561
1353.499979,200,70.215585
459.649967,200,70.342063
1122.749978,200,70.459054
1969.849992,200,70.567085
1517.499985,200,70.739216
1147.54998,200,70.886426
1170.649974,200,79.524265
13.599949,200,79.629234
2246.899988,200,79.736791
1132.099973,200,79.844477
1770.849982,200,79.949592
1098.849974,200,80.056012
770.249971,200,80.164327
1135.749971,200,80.352786
2211.499986,200,80.492603
1123.649981,200,80.640315
663.099969,200,90.913942
1443.249978,200,91.020877
1801.299983,200,91.161849
1672.099985,200,91.306461
1510.999979,200,91.425756
1784.899991,200,91.528053
1230.699977,200,91.636515
1555.149984,200,91.743234
1931.499985,200,91.849349
1999.849992,200,91.959716
1509.89999,200,107.904042
1711.799982,200,108.287699
937.749979,200,108.560824
1147.749983,200,108.782349
1552.949986,200,109.037746
1749.399989,200,109.394284
973.399978,200,109.656418
1954.04999,200,109.949013
1247.649975,200,110.213789
1945.799986,200,110.382766
1429.099983,200,122.168864
1269.099981,200,122.29999
1009.149967,200,122.420441
1851.899987,200,122.55971
1485.249986,200,122.672723
1877.89998,200,122.779696
1310.949982,200,122.895184
934.449972,200,123.010693
1535.549987,200,123.139611
870.299978,200,123.285609
1294.949981,200,133.823094
901.049973,200,133.962097
1206.049978,200,134.094679
1494.249986,200,134.218328
1406.649981,200,134.33166
1676.449988,200,134.452092
1987.199985,200,134.557926
1786.649988,200,134.658109
1656.549982,200,134.763629
1959.849992,200,134.870467
1671.69998,200,143.213171
1974.799986,200,143.320242
1298.099985,200,143.446608
1584.249975,200,143.59801
1331.899981,200,143.725917
1503.799984,200,143.926969
293.84996,200,144.055611
1895.549986,200,144.185998
977.849977,200,144.299018
1659.899978,200,144.422219
1601.449991,200,156.409632
1300.649983,200,156.562341
923.69997,200,156.714674
1414.949985,200,156.865896
1230.949977,200,157.017207
387.149961,200,157.181769
1994.349985,200,157.3329
1957.999986,200,157.478726
1945.949984,200,157.621785
1164.899982,200,157.745997
1803.799983,200,173.812003
941.349973,200,174.058731
1154.299979,200,174.314714
1391.699987,200,174.703523
424.299967,200,174.988583
893.349976,200,175.290099
1909.449987,200,175.605958
1768.199987,200,175.971738
1162.649977,200,176.35182
1386.299982,200,176.703367
1440.899973,200,198.007271
2096.549991,200,198.327441
1783.049988,200,198.619491
2004.199991,200,198.889856
678.949966,200,199.204123
1091.349976,200,199.483881
1307.449981,200,199.728875
1512.049984,200,199.956717
1533.949983,200,200.292213
1079.799975,200,200.530455
1834.099995,200,220.172133
1396.749979,200,220.479755
1576.349979,200,220.724878
1529.949986,200,220.97125
1646.299984,200,221.258483
1680.499985,200,221.505452
2027.449984,200,221.947196
1583.44999,200,222.234729
1721.749987,200,222.479775
1770.349989,200,222.732858
1107.699973,200,245.997194
1201.549973,200,246.283109
1038.04998,200,246.575988
1064.749976,200,246.871993
1230.39998,200,247.299713
1700.899984,200,247.592014
1508.049982,200,247.856965
579.149964,200,248.154379
904.749973,200,248.480533
1079.699975,200,248.778594
1212.349979,200,267.52714
1325.349978,200,267.961956
192.899953,200,268.343163
1075.449979,200,268.763435
1338.849981,200,269.186687
1166.349981,200,269.583021
1790.599984,200,270.008581
1901.199986,200,270.513654
1739.049981,200,270.88972
1556.049976,200,271.23737
1431.299986,200,290.657842
1634.099988,200,290.765756
2062.799993,200,290.868841
2287.449986,200,290.987077
1693.899989,200,291.102909
530.999966,200,291.243104
809.449971,200,291.457061
891.549974,200,291.603102
1699.999986,200,291.844865
1575.349984,200,292.014869
1371.599982,200,303.888896
1150.699982,200,304.033895
1591.549983,200,304.160911
1078.149972,200,304.280262
1373.599977,200,304.493557
1313.649981,200,304.626429
1208.749987,200,304.746718
1665.899982,200,304.86874
1021.999979,200,304.980757
181.499962,200,305.092082
749.549968,200,314.118634
903.399977,200,314.228952
1462.949982,200,314.348761
1926.499994,200,314.452089
1575.049979,200,314.563997
780.349968,200,314.669724
1271.149977,200,314.769714
1399.449981,200,314.881832
1247.349975,200,314.986515
1414.899982,200,315.090131
00,114.615358
2003.90454,200,114.844565
2895.237167,200,115.311228
1008.396457,200,115.581361
2508.495375,200,115.803226
1365.15841,200,116.042549
2462.092922,200,116.282291
-862.410555,200,116.510464
-670.286556,200,116.756999
-224.055376,200,117.102697
-1026.666527,200,119.696416
2137.561332,200,119.943603
2635.110832,200,120.182418
-1054.09991,200,120.428767
3017.902709,200,120.721219
2601.294348,200,120.996641
-801.258534,200,121.306455
3020.362757,200,121.558742
1485.936923,200,121.809484
3035.430286,200,122.03556
2989.614314,200,125.421098
2722.021977,200,125.750799
2664.251451,200,125.93504
2778.082905,200,126.120085
2737.518268,200,126.308584
2916.358963,200,126.493899
1153.601615,200,126.673227
2474.596642,200,126.851566
2880.97203,200,127.02425
1998.694746,200,127.210846
2716.367249,200,129.214353
2775.924963,200,129.429189
1589.494197,200,129.73084
2386.967041,200,129.957325
1876.671667,200,130.151563
-705.924581,200,130.334633
1939.534588,200,130.519326
2318.586728,200,130.692332
2179.882859,200,130.864417
2233.025273,200,131.028065
108.747667,200,132.826231
331.978206,200,133.060866
-6.079263,200,133.26773
2792.743146,200,133.437552
2607.414672,200,133.714819
1918.148695,200,135.082527
2777.370192,200,135.264879
2782.766113,200,135.530769
2789.370839,200,135.743429
1931.044769,200,135.928727
3028.699985,200,136.227509
2461.355878,200,138.112418
966.371651,200,138.316449
2790.930146,200,138.497077
1724.303709,200,138.66752
1493.297527,200,138.835989
2722.41856,200,138.999328
2778.262145,200,139.191582
2427.721779,200,139.415565
1625.252734,200,139.680506
-847.713516,200,139.88726
1974.457108,200,141.633755
2271.608943,200,141.900219
2785.124113,200,142.098703
2715.728858,200,142.271558
-135.265195,200,142.43637
2922.390747,200,142.610288
1105.402942,200,142.778362
2836.524215,200,142.948541
2320.084629,200,143.114573
2768.262201,200,144.677548
512.062345,200,146.96014
881.399358,200,147.264105
2949.149984,200,147.624663
-960.834267,200,148.124585
2786.652898,200,148.397524
1394.919385,200,148.78
2668.354919,200,149.031503
1104.268472,200,149.268949
2266.012213,200,149.478384
2776.302802,200,149.69664
2006.611459,200,151.820648
2821.804522,200,152.098718
2168.729836,200,152.314613
2439.241708,200,152.515621
2546.712087,200,152.700093
2850.281268,200,152.876506
-430.564638,200,153.052574
2730.435729,200,153.220204
3003.963703,200,153.4454
184.762489,200,153.683461
2215.856343,200,155.451643
2711.658797,200,155.759689
-548.057811,200,156.017685
2658.718398,200,156.264884
1748.61683,200,157.992877
3001.597602,200,158.303333
2960.469699,200,158.614249
-670.170869,200,158.818127
2817.695203,200,159.073927
2816.986261,200,159.334228
-361.418168,200,159.54119
3027.26896,200,161.499959
2977.208739,200,161.747115
614.919426,200,161.960742
-876.768598,200,162.167481
2755.325864,200,162.431536
2270.94642,200,162.992625
2738.216926,200,163.45747
1754.312274,200,163.929662
1983.079581,200,164.554637
-657.544893,200,165.064344
2777.729484,200,169.889762
34.54251,200,170.277556
2743.76561,200,170.802713
3052.87491,200,171.446145
-1230.786581,200,171.864613
-854.301538,200,172.443725
-911.356311,200,172.941555
736.781908,200,173.441849
2223.091331,200,177.316599
2961.920742,200,177.793821
2627.9131,200,181.236603
211.887031,200,181.919601
2859.425851,200,182.41325
2411.008477,200,182.995873
1788.018472,200,183.400023
236.766449,200,183.960672
1606.5479,200,184.488575
-388.131703,200,184.927524
2762.981513,200,185.484692
2346.634364,200,185.943902
2856.23231,200,189.781069
18.327945,200,190.277431
2992.012022,200,190.723883
2769.98539,200,191.142412
2868.8915,200,191.772084
-373.077966,200,192.192798
197.916747,200,192.636766
2249.199836,200,192.987456
2619.81753,200,193.301469
1447.465871,200,193.602461
-746.619567,200,194.000607
-839.373978,200,197.116779
2777.088457,200,197.623198
879.861929,200,200.964026
196.878239,200,201.447036
2802.540138,200,201.86782
-964.500304,200,202.249285
-512.006528,200,202.812467
3028.493022,200,203.287027
1876.678116,200,203.65767
3053.81072,200,204.135369
283.906,200,207.340418
2552.093066,200,208.249965
1879.265416,200,208.706716
2204.313179,200,209.241874
2176.811876,200,209.68223
-829.299955,200,210.077773
1326.034854,200,210.586839
2663.583953,200,211.110122
71.834354,200,211.735793
2632.473329,200,212.441753
2759.34505,200,216.548266
2076.834496,200,217.206388
2283.125307,200,217.906248
2346.433301,200,218.366033
2352.113309,200,218.904772
2805.501601,200,219.462379
-1065.136321,200,219.904959
-621.299379,200,223.380564
3033.347931,200,223.824892
2973.264331,200,224.486134
3084.891919,200,228.304474
2405.113652,200,228.901479
2890.532334,200,229.502603
-211.273125,200,229.965552
2628.961234,200,230.580657
1930.610169,200,231.050745
2553.365211,200,231.649095
2785.945952,200,232.093073
758.365051,200,232.674836
2855.968378,200,233.132793
2770.032301,200,233.5671
-914.424102,200,236.956849
1919.796003,200,237.362163
2078.093009,200,237.77341
1500.798799,200,238.354046
1707.073604,200,238.818757
1918.348233,200,239.449749
-335.091078,200,239.973736
299.012311,200,240.59483
2253.86707,200,241.088816
1461.822998,200,241.641334
1298.67155,200,245.636531
2792.786554,200,249.304911
444.419912,200,249.903465
-559.847353,200,250.465002
-947.900829,200,250.922067
2885.899988,200,251.435982
2645.903125,200,251.858088
-33.342019,200,252.402519
-599.241454,200,252.79953
-141.970058,200,253.13987
2746.620048,200,256.5841
2898.283989,200,256.963539
3093.449955,200,257.434145
1052.495518,200,257.794617
2205.723409,200,258.127998
-579.626215,200,258.529144
2872.3719,200,258.846105
1196.62088,200,259.178169
140.084812,200,259.535286
-847.553903,200,260.08237
448.400383,200,264.095461
-345.471278,200,264.80131
-555.955132,200,265.419956
-719.208863,200,266.092015
2621.253347,200,266.629854
3077.42941,200,267.18552
2676.024774,200,272.035078
2249.886556,200,272.542072
2557.572216,200,273.067027
2760.850989,200,273.629697
2628.754188,200,274.075918
2791.869363,200,277.875621
3026.63259,200,278.476562
2774.787413,200,279.199594
2180.083443,200,279.76938
2545.016288,200,280.433052
2674.424935,200,281.083481
-631.681635,200,281.715239
60.34211,200,282.506736
-470.242938,200,283.074662
2836.694216,200,283.844413
2652.847533,200,288.286079
3024.818836,200,288.618281
2828.099685,200,289.074283
1207.189621,200,289.379653
3012.126605,200,289.584638
-394.976786,200,289.797732
1410.894216,200,289.990631
2019.908682,200,290.177434
3037.32276,200,290.36599
-869.07303,200,290.54975
218.618406,200,294.333252
1023.2792,200,294.560481
2795.127757,200,294.76813
3051.063917,200,294.986594
2277.950677,200,295.203334
2817.893445,200,295.427952
1825.166052,200,295.665914
2696.258193,200,295.866369
2723.264147,200,296.068926
2553.810304,200,296.276901
3041.970462,200,298.587198
517.340008,200,298.84534
2663.468413,200,299.079937
758.037429,200,299.284162
-935.886189,200,299.566855
2858.382596,200,299.77656
2769.153925,200,299.984359
1367.985272,200,300.201222
2169.734899,200,300.401248
2103.140687,200,300.618376
2919.347784,200,300.793484
2780.512801,200,303.124429
2856.800287,200,303.35557
-1155.693056,200,303.567644
-988.014357,200,303.764235
2756.153502,200,305.309236
-671.977913,200,305.497223
1417.367861,200,305.691407
-954.867709,200,305.880472
2903.821626,200,306.056306
2244.908043,200,306.299561
-784.535848,200,308.617154
2757.122967,200,308.823012
3007.185605,200,309.016058
2785.97263,200,309.19754
2191.206625,200,309.390291
1106.375196,200,309.593306
2156.803979,200,309.819739
2827.35913,200,310.099443
2698.904248,200,310.290026
2096.098984,200,310.510518
3111.987849,200,312.313342
256.197743,200,312.532042
2874.876552,200,312.74663
2499.088214,200,312.947462
2803.039865,200,313.126104
2543.927256,200,313.302567
3009.549988,200,313.474891
-117.531142,200,313.709148
2883.929177,200,313.998411
2074.24336,200,315.303036
