#{"t_start": 1760297663.2486463, "env_id": "None"}
r,l,t
194.099975,200,6.322271
-591.900027,200,6.412659
-55.900018,200,6.499602
-1597.100027,200,6.582907
457.799971,200,6.666798
-524.500041,200,6.752957
-715.200027,200,6.837172
-591.100032,200,6.918963
-129.600033,200,7.00097
529.099978,200,7.087564
-212.200031,200,7.170707
-336.100029,200,7.26044
1065.199989,200,7.342534
382.499977,200,7.425563
653.599973,200,7.50896
533.499974,200,12.391083
208.599973,200,12.472085
-387.500026,200,12.558359
-208.400032,200,12.644423
677.999977,200,12.729594
-1301.700034,200,12.813815
219.199978,200,12.896808
253.999972,200,12.984004
-1781.400042,200,13.071054
-808.600034,200,13.158123
-1603.700046,200,13.241563
701.499979,200,13.327481
-563.900023,200,13.411772
88.69997,200,13.49785
-392.400026,200,13.595855
434.699976,200,19.036276
-927.900027,200,19.130594
427.599973,200,19.237888
425.199972,200,19.332386
941.599979,200,19.426401
1205.699976,200,19.514738
1181.49998,200,19.601426
-863.700032,200,19.691411
1052.299977,200,19.778341
780.999977,200,19.871244
-1227.800033,200,19.966244
867.499974,200,20.055254
1185.399983,200,20.144253
-54.400026,200,20.240766
541.499979,200,20.340762
-647.000031,200,25.395372
417.199967,200,25.482419
1149.399981,200,25.569425
781.799973,200,25.659525
180.299972,200,25.748687
-1100.200047,200,25.837832
-2572.900063,200,25.926821
1534.999986,200,26.012833
393.399974,200,26.099102
1422.899977,200,26.187816
-289.300043,200,26.272114
-897.400033,200,26.358474
157.09998,200,26.443473
1645.899984,200,26.53359
-367.400032,200,26.624727
-363.600027,200,32.148457
738.499978,200,32.23849
1129.599982,200,32.32887
689.799973,200,32.420235
365.699975,200,32.514319
979.399974,200,32.614132
-89.300038,200,32.704457
414.599976,200,32.803386
1450.199979,200,32.898386
1394.799987,200,32.995438
591.499978,200,33.091437
748.799977,200,33.183525
175.999971,200,33.271647
506.999983,200,33.358938
1099.799978,200,33.447972
1061.399982,200,38.473532
-238.100036,200,38.560534
1140.699979,200,38.648004
253.799973,200,38.739389
1441.199982,200,38.830985
656.299975,200,38.918895
127.799975,200,39.008891
-1017.800037,200,39.098373
1255.599988,200,39.186448
690.799974,200,39.277619
1258.999982,200,39.366982
803.39998,200,39.452959
154.999984,200,39.544269
514.699976,200,39.635553
24.599974,200,39.726571
-807.300028,200,46.368028
-619.600029,200,46.468974
358.799973,200,46.565728
828.69998,200,46.663301
701.299977,200,46.764774
846.299981,200,46.867858
1336.399983,200,46.96451
892.399977,200,47.065478
653.399977,200,47.155865
1304.599985,200,47.247213
185.699975,200,47.340206
1350.199988,200,47.431255
269.299977,200,47.523399
653.499974,200,47.614296
519.99997,200,47.70532
794.099983,200,52.871244
-1682.000038,200,52.961328
1394.599975,200,53.057217
-596.300038,200,53.152142
1047.299981,200,53.24005
871.199975,200,53.332148
721.999974,200,53.424366
-1294.000029,200,53.516453
849.399974,200,53.611453
1028.599984,200,53.70286
-965.900038,200,53.788875
1308.99998,200,53.876194
1240.299976,200,53.96919
1239.399978,200,54.057709
219.099969,200,54.146079
1083.799986,200,59.382484
-233.600031,200,59.472803
178.399971,200,59.556903
689.099977,200,59.643633
-1800.500054,200,59.73443
-731.800031,200,59.82628
1217.199983,200,59.917372
1207.599978,200,60.00736
396.999977,200,60.094264
601.299975,200,60.18244
882.299981,200,60.270756
1504.099982,200,60.357081
999.899979,200,60.44224
1160.699979,200,60.532716
-502.300028,200,60.624739
307.699969,200,66.468235
496.599978,200,66.559229
681.199976,200,66.649247
916.19997,200,66.740414
245.999966,200,66.829733
1587.999987,200,66.921733
481.199984,200,67.013734
164.79998,200,67.100884
748.699975,200,67.187265
1307.899987,200,67.281702
717.499978,200,67.372176
1263.899986,200,67.456417
413.499978,200,67.545858
-689.500032,200,67.632057
1031.59998,200,67.723501
-310.500026,200,72.827218
112.899976,200,72.915556
-279.500033,200,73.006464
73.79997,200,73.093958
182.799971,200,73.184251
1082.199976,200,73.273019
465.999975,200,73.361323
-1093.900043,200,73.452716
-614.000028,200,73.547395
-456.500031,200,73.640427
599.999971,200,73.733484
699.399974,200,73.825549
-2226.000049,200,73.913855
20.399969,200,74.003857
237.999977,200,74.091089
646.29998,200,80.103508
882.199976,200,80.195971
1183.799985,200,80.284788
1257.999989,200,80.372141
792.899978,200,80.459085
738.899979,200,80.54753
812.199982,200,80.635775
1481.599979,200,80.72404
1731.199986,200,80.815169
913.799979,200,80.907169
-257.300033,200,81.00059
-1170.100042,200,81.092862
-162.800032,200,81.186026
362.399974,200,81.276137
533.999977,200,81.369379
617.799973,200,87.955939
332.099979,200,88.089403
1026.599978,200,88.242272
-240.600026,200,88.378465
618.999978,200,88.514781
623.799982,200,88.64949
358.299971,200,88.783547
913.99998,200,88.923328
27.099974,200,89.064081
-2179.400051,200,89.199278
-667.900034,200,89.330573
-637.600043,200,89.455901
879.899977,200,89.578328
1299.999982,200,89.693999
575.999969,200,89.81157
-2074.700044,200,96.882162
317.999968,200,96.977168
62.399974,200,97.068173
-39.700027,200,97.159158
263.699978,200,97.251289
151.299973,200,97.344503
810.599986,200,97.437136
-1681.40004,200,97.532302
-170.400023,200,97.638534
962.399978,200,97.734099
250.899973,200,97.83211
972.599981,200,97.922552
884.199973,200,98.011871
697.499979,200,98.102149
622.899972,200,98.191432
724.199971,200,103.460342
-1199.500045,200,103.551424
409.499978,200,103.638907
-475.400037,200,103.728817
646.599981,200,103.824075
339.999973,200,103.916732
117.199973,200,104.009727
230.599974,200,104.149939
-1517.600055,200,104.263946
-642.000039,200,104.355001
336.199976,200,104.444501
-810.700029,200,104.53378
-360.200047,200,104.619878
-512.800036,200,104.713532
921.799973,200,104.80384
