#{"t_start": 1760345065.0264885, "env_id": "None"}
r,l,t
-906.75,200,3.603933
-526.5,200,3.910145
-712.75,200,4.227012
-565.0,200,4.559049
-711.25,200,4.820948
-537.0,200,5.159113
-750.5,200,5.455883
-578.75,200,5.73013
-751.5,200,5.987646
-855.5,200,6.222716
-342.75,200,8.023284
-634.25,200,8.343575
-642.0,200,8.615592
-806.75,200,8.815011
-425.5,200,9.083016
-647.75,200,9.345444
-698.5,200,9.64919
-635.75,200,9.887213
-537.75,200,10.11701
-765.25,200,10.40026
-640.5,200,11.987269
-391.5,200,12.173873
-361.0,200,12.417975
-463.0,200,12.730301
-407.0,200,12.955698
-316.5,200,16.012507
-237.25,200,16.341217
-489.0,200,16.680295
-494.0,200,17.024866
-465.25,200,17.366836
-551.0,200,19.115883
-317.75,200,19.362213
-18.0,200,19.589713
200.0,200,19.894765
21.5,200,20.195918
-320.75,200,20.487764
16.25,200,20.817673
13.25,200,21.113379
-326.5,200,21.435223
28.75,200,21.779869
-57.0,200,23.431797
150.25,200,23.65186
-132.5,200,23.954828
-120.25,200,24.252078
396.75,200,24.540422
196.25,200,24.806753
274.5,200,25.133837
406.75,200,25.452023
278.5,200,25.725176
166.25,200,26.000664
142.5,200,28.67288
75.75,200,30.613973
309.0,200,30.958302
496.0,200,31.268515
104.25,200,31.511984
407.25,200,31.917944
98.5,200,32.320365
304.25,200,32.573498
648.5,200,32.884175
347.5,200,33.137433
487.5,200,33.442944
447.75,200,35.171593
47.75,200,35.513185
191.5,200,35.781971
517.75,200,36.015697
190.75,200,36.273971
868.5,200,36.603426
418.0,200,36.938215
589.25,200,37.273609
294.5,200,37.603559
436.5,200,37.919265
290.5,200,39.712126
880.5,200,39.996819
242.75,200,40.220746
615.25,200,40.546141
590.0,200,43.486551
264.75,200,43.775011
462.75,200,44.06636
305.25,200,44.368649
739.75,200,44.568124
690.25,200,44.874791
78.5,200,46.627315
745.75,200,46.965923
505.0,200,47.296236
794.5,200,47.583452
812.25,200,47.805283
956.5,200,48.175772
961.5,200,48.540286
791.5,200,48.843348
892.25,200,49.174793
715.0,200,49.43772
687.5,200,49.810597
886.25,200,51.293992
33.25,200,51.685869
743.0,200,51.946204
1026.5,200,52.246537
703.75,200,52.558799
1004.5,200,52.899176
580.75,200,53.181707
641.5,200,53.541134
783.25,200,56.499472
886.25,200,56.821479
699.25,200,58.58366
565.25,200,58.88296
593.0,200,59.147831
947.5,200,59.42914
712.0,200,59.704972
1134.5,200,59.893264
855.75,200,60.184849
475.25,200,60.485098
859.5,200,60.949735
915.5,200,61.316687
828.25,200,63.675399
1025.25,200,63.957241
581.0,200,64.157315
1035.75,200,64.444998
389.25,200,64.719614
925.75,200,65.004887
1134.0,200,65.314193
903.75,200,65.573069
998.25,200,65.863827
1116.25,200,66.098778
1169.5,200,67.886967
1191.0,200,68.091015
296.75,200,68.363812
981.25,200,70.843615
1179.75,200,71.04405
928.0,200,71.396411
664.0,200,71.697644
673.25,200,72.057193
535.0,200,72.292158
1002.0,200,72.589979
1168.0,200,72.793083
1201.25,200,74.544803
563.25,200,74.838124
918.5,200,75.085304
805.75,200,75.411458
1197.75,200,75.673098
952.5,200,75.964866
1283.75,200,76.254075
989.0,200,76.550082
989.0,200,76.845048
1163.0,200,77.19553
228.0,200,78.772544
1139.75,200,79.047921
1185.5,200,79.310812
613.75,200,79.597023
1036.25,200,79.890616
615.0,200,80.167324
529.0,200,80.413524
894.25,200,83.661841
1079.75,200,83.993085
1240.0,200,84.33112
468.25,200,86.082779
84.5,200,86.385468
1196.25,200,86.754784
1057.0,200,87.036025
308.5,200,87.325902
1028.75,200,87.580151
1101.0,200,87.887275
1153.0,200,88.19952
1151.5,200,88.510737
1169.5,200,88.866181
1190.0,200,90.635216
467.0,200,90.826047
1248.0,200,91.057829
1299.75,200,91.301937
973.5,200,91.622984
1165.0,200,91.843123
1060.75,200,92.191318
1058.25,200,92.478892
1168.25,200,92.736427
629.75,200,93.098477
921.5,200,93.406801
838.5,200,95.221645
561.25,200,98.191413
877.75,200,98.539499
963.25,200,98.873994
941.5,200,99.22293
1178.25,200,99.504941
1359.5,200,99.791177
837.25,200,100.072832
1076.5,200,100.37094
907.75,200,100.660537
1333.75,200,102.385562
441.75,200,102.614781
1155.75,200,103.013274
888.5,200,103.310103
921.5,200,103.587684
1218.0,200,103.877085
932.75,200,104.155108
1111.25,200,104.372843
808.25,200,104.642761
993.5,200,104.903111
1022.0,200,106.568932
983.0,200,106.800063
1193.0,200,107.103186
1152.25,200,107.407718
941.25,200,107.686085
98.25,200,107.973996
1196.75,200,110.84876
892.5,200,111.121832
565.75,200,111.38207
918.75,200,111.693671
1142.75,200,113.561706
1146.75,200,113.762958
1093.0,200,114.086538
1214.0,200,114.398584
1271.25,200,114.64373
1295.5,200,114.893406
776.0,200,115.138301
987.25,200,115.377955
883.0,200,115.698039
933.75,200,116.008028
1266.75,200,116.246116
1118.25,200,118.134811
1198.0,200,118.381892
1127.0,200,118.633445
115.0,200,118.860177
984.25,200,119.079026
468.5,200,119.328401
1332.75,200,119.553152
1007.25,200,119.853328
1315.5,200,120.152491
1233.0,200,120.508281
875.75,200,125.06339
1186.25,200,125.328728
725.75,200,125.644925
1151.0,200,125.852554
1157.25,200,126.08398
661.0,200,126.338145
738.5,200,126.632526
1101.5,200,126.911352
1192.75,200,127.110011
793.0,200,127.407024
