#{"t_start": 1760351644.3515341, "env_id": "None"}
r,l,t
-795.5,200,2.011587
-584.75,200,2.219433
-755.5,200,2.38003
-544.25,200,2.543197
-648.5,200,2.707291
-674.0,200,2.871549
-536.0,200,3.033623
-887.75,200,3.193014
-636.0,200,3.352575
-855.5,200,3.513354
-501.0,200,4.856338
-706.75,200,5.020849
-513.75,200,5.183399
-876.0,200,5.462491
-731.25,200,5.656235
-774.25,200,5.832574
-614.0,200,6.007161
-389.5,200,6.1755
-789.0,200,6.388349
-643.25,200,6.555935
-608.25,200,8.302483
-405.0,200,8.487229
-102.25,200,8.670258
-316.25,200,8.843312
-267.25,200,9.013578
-109.75,200,10.951575
-377.5,200,11.164382
-600.0,200,11.371669
-178.0,200,11.554526
-364.75,200,11.742387
-287.75,200,13.761819
-526.75,200,14.201732
-33.0,200,14.669606
-91.75,200,14.932755
74.0,200,15.163813
-389.75,200,15.44876
-64.5,200,15.797355
49.25,200,16.163636
-191.5,200,16.458757
265.25,200,16.677004
-250.75,200,18.776533
80.5,200,18.994544
-106.5,200,19.312354
-276.25,200,19.557134
76.5,200,19.869317
567.0,200,20.126902
362.0,200,20.348672
83.75,200,20.57728
503.5,200,20.839093
171.75,200,21.097165
439.0,200,23.527726
269.0,200,24.095218
437.25,200,24.365993
379.5,200,24.64835
144.0,200,25.000528
185.5,200,25.245541
243.25,200,25.524181
476.5,200,25.746895
752.5,200,25.973588
501.25,200,26.189533
206.0,200,26.417184
574.0,200,28.612553
-131.5,200,28.844663
186.5,200,29.061382
432.0,200,29.321436
114.25,200,29.537034
934.5,200,29.769676
289.25,200,30.034661
763.75,200,30.282537
273.5,200,30.481586
499.5,200,30.681776
410.5,200,32.683752
906.75,200,32.942697
274.25,200,33.1869
749.75,200,33.425278
629.5,200,35.894428
340.0,200,36.097163
628.25,200,36.336324
610.25,200,36.596989
677.75,200,36.888384
576.75,200,37.121558
430.0,200,39.359635
544.25,200,39.59958
720.25,200,39.828682
984.25,200,40.043731
700.25,200,40.259796
940.75,200,40.509518
1045.5,200,40.817263
746.75,200,41.105502
759.75,200,41.352595
784.75,200,41.687238
884.0,200,41.958503
1000.75,200,43.969492
350.5,200,44.298556
895.25,200,44.614515
949.25,200,44.905818
975.25,200,45.119573
871.5,200,45.386929
448.0,200,45.656995
416.5,200,45.931488
820.5,200,48.424671
756.75,200,48.75938
885.5,200,51.086158
781.75,200,51.407456
558.0,200,51.788615
956.25,200,52.092493
662.0,200,52.309797
1217.5,200,52.526642
785.25,200,52.778458
548.5,200,52.993727
1008.75,200,53.319862
948.25,200,53.60615
936.5,200,55.656191
1029.25,200,55.88139
600.25,200,56.208467
900.25,200,56.544336
524.75,200,56.760437
928.25,200,56.971654
1118.5,200,57.18663
699.0,200,57.507317
1021.5,200,57.770723
1066.25,200,58.056335
1148.25,200,60.281693
1229.75,200,60.510339
149.25,200,60.728386
1069.75,200,63.378748
1151.0,200,63.621395
1022.25,200,63.826453
698.0,200,64.060677
473.5,200,64.311695
611.0,200,64.541558
1007.5,200,64.767018
1125.25,200,65.032181
1037.75,200,67.20857
512.75,200,67.413697
913.5,200,67.675365
901.5,200,67.888597
1190.25,200,68.10375
663.5,200,68.31965
1206.5,200,68.575468
998.75,200,68.836471
1000.75,200,69.109567
1001.5,200,69.355462
275.5,200,71.262549
1057.5,200,71.4836
1023.25,200,71.760381
548.0,200,72.00371
1049.75,200,72.288467
633.0,200,72.588361
383.0,200,72.962432
743.5,200,77.058406
1073.25,200,77.449498
1312.75,200,77.806831
425.0,200,80.924459
122.0,200,81.293325
1138.25,200,81.660296
902.5,200,82.035484
8.5,200,82.485892
1162.5,200,82.956217
1236.75,200,83.332694
1196.0,200,83.688344
1184.25,200,84.060515
1119.25,200,84.528718
1309.5,200,87.026799
655.25,200,87.362657
1138.0,200,87.722082
1297.0,200,88.108463
1023.25,200,88.477445
1188.75,200,88.795235
942.5,200,89.10067
1052.75,200,89.492532
1091.5,200,89.922342
618.25,200,90.304408
1083.5,200,90.655298
927.25,200,91.239362
473.25,200,94.074682
1067.75,200,94.296156
990.0,200,94.562349
927.25,200,94.799366
1209.25,200,95.095437
1306.25,200,95.367662
705.0,200,95.629383
1057.5,200,95.912763
936.0,200,96.130786
1363.0,200,98.538418
191.75,200,98.851531
1172.75,200,99.142802
791.75,200,99.417194
858.5,200,99.678581
1264.5,200,99.909649
912.25,200,100.135941
1200.5,200,100.362656
826.75,200,100.582708
991.5,200,100.851257
961.75,200,103.194616
1152.0,200,103.429258
1197.5,200,103.663707
1151.25,200,103.883612
649.75,200,104.12455
-425.75,200,104.336354
1239.5,200,106.982307
1044.5,200,107.244482
598.25,200,107.542631
923.0,200,107.846544
984.25,200,109.941284
1135.5,200,110.208481
1102.75,200,110.496132
1227.25,200,110.886507
1263.25,200,111.164652
1292.75,200,111.475767
777.25,200,111.773353
1173.25,200,112.06034
1025.75,200,112.325708
801.25,200,112.615833
1222.25,200,112.856417
1112.0,200,113.490343
1230.75,200,113.771804
1149.5,200,114.011446
43.25,200,114.26334
903.5,200,114.540577
577.0,200,114.787113
1362.0,200,115.055882
909.25,200,115.31628
1361.0,200,115.558714
1319.25,200,115.862373
780.25,200,120.369511
1287.0,200,120.669641
892.5,200,120.885337
937.25,200,121.117328
1145.75,200,121.392333
614.25,200,121.601614
649.5,200,121.806883
1110.0,200,122.099432
1309.5,200,122.442369
683.25,200,122.666831
498.5,200,124.719501
1198.75,200,125.031401
825.25,200,125.278705
311.5,200,125.498518
740.25,200,125.747236
680.25,200,126.024708
1222.25,200,126.331294
1080.0,200,126.615793
986.0,200,126.915251
319.25,200,127.253817
1296.5,200,129.151386
1273.75,200,129.471776
166.5,200,129.71733
1198.5,200,129.942548
1405.75,200,130.25707
829.5,200,133.278664
611.5,200,133.569667
1338.75,200,133.779968
639.25,200,134.038675
1060.75,200,134.315975
954.5,200,134.60147
1198.5,200,136.82469
1116.5,200,137.07033
627.0,200,137.284057
1295.25,200,137.519515
1211.75,200,137.752282
1297.75,200,138.059341
1256.25,200,138.325569
1001.5,200,138.556124
832.5,200,138.834564
726.5,200,139.108439
1155.0,200,141.262282
1356.0,200,141.483048
890.5,200,141.698349
1167.0,200,141.94679
1448.75,200,142.166341
300.75,200,142.401131
989.5,200,142.640613
1287.0,200,142.8668
1263.25,200,143.074641
1243.5,200,145.586802
1168.5,200,147.285424
1224.5,200,147.487571
849.5,200,147.750465
629.5,200,148.024461
654.25,200,148.311646
1095.5,200,148.508354
1327.25,200,148.767047
1228.0,200,148.994584
1335.0,200,149.196831
637.25,200,149.403499
1118.5,200,151.570309
1262.25,200,151.786277
654.25,200,152.007158
856.5,200,152.308718
368.25,200,152.55149
933.75,200,152.821473
1323.5,200,153.115428
1188.25,200,153.428746
419.0,200,153.750717
857.5,200,153.998532
1053.5,200,156.366934
872.0,200,156.61236
1161.25,200,156.845786
819.25,200,157.127008
1316.0,200,159.59299
36.25,200,159.876827
1328.0,200,160.140474
1305.0,200,160.453677
318.75,200,160.680383
1458.0,200,160.933292
643.75,200,161.209618
1011.25,200,163.084061
857.25,200,163.380232
953.0,200,163.677137
927.5,200,163.973825
849.75,200,164.1942
346.75,200,164.409837
1319.5,200,164.677022
707.25,200,164.912277
439.75,200,165.129441
526.0,200,165.418793
1426.5,200,167.061587
733.5,200,167.286795
1053.75,200,167.565373
1288.25,200,167.83733
1033.75,200,168.114649
659.25,200,168.348405
1148.0,200,168.643402
