#{"t_start": 1760372762.3799906, "env_id": "None"}
r,l,t
-8446.599989,200,7.030048
-8365.3,200,7.109827
-8726.099989,200,7.188622
-8597.800011,200,7.269863
-7801.700014,200,7.347862
-7615.1,200,7.426082
-7904.299986,200,7.51135
-8558.60001,200,7.597244
-8575.700024,200,7.698787
-7936.600007,200,7.790634
-8221.899981,200,7.86272
-7661.599989,200,7.942625
-8326.999999,200,8.018629
-8018.700027,200,8.089793
-7960.399994,200,8.173647
-3220.900003,200,14.370336
-3398.09999,200,14.462543
-5522.20002,200,14.593871
-6196.600013,200,14.714002
-2778.100009,200,14.830004
-7507.299987,200,14.935182
-3678.599988,200,15.031183
-3376.000007,200,15.128167
-8669.700023,200,15.227247
-7784.900019,200,15.316166
-5552.4,200,15.402477
-3058.69999,200,15.486448
-6831.999973,200,15.573476
-3919.00001,200,15.664476
-8310.700001,200,15.749399
-2721.400014,200,25.257847
-4993.499991,200,25.484178
-2699.899997,200,25.702374
-2698.700006,200,25.941081
-2324.400001,200,26.196088
-2084.900005,200,26.405623
-2307.700008,200,26.666713
-8520.900013,200,26.775892
-2355.500001,200,26.870285
-2500.500005,200,26.961832
-4897.399981,200,27.061834
-2475.199997,200,27.153331
-2226.300001,200,27.239946
-3371.000009,200,27.330814
-2739.000008,200,27.434641
-5695.200005,200,39.226374
-2663.200002,200,39.422262
-2135.600001,200,39.66425
-2683.999996,200,39.861024
-3098.000007,200,40.049701
-6220.39999,200,40.302737
-7621.800025,200,40.568388
-1830.900006,200,40.830684
-2992.799995,200,41.136204
-2010.799996,200,41.440557
-5495.399987,200,41.75466
-4087.299994,200,42.071904
-3638.799999,200,42.368063
-1962.000005,200,42.687171
-3384.299993,200,42.990816
-3337.399999,200,57.279381
-2611.199998,200,57.500177
-2327.199998,200,57.661275
-2659.900001,200,57.920105
-3015.399998,200,58.128803
-2348.299996,200,58.271811
-3399.400014,200,58.470943
-2884.399991,200,58.567927
-2058.200003,200,58.72911
-2040.100006,200,58.937113
-2600.4,200,59.183673
-2521.300001,200,59.406116
-2866.199999,200,59.554903
-2855.900004,200,59.766763
-2305.100003,200,59.932066
-2067.899996,200,70.668522
-3245.000014,200,70.83652
-2295.2,200,71.056637
-3089.900005,200,71.221783
-1976.999998,200,71.380971
-2859.300003,200,71.578759
-2776.499994,200,71.781744
-3807.599995,200,71.987035
-2142.500004,200,72.266169
-2436.100006,200,72.485229
-2062.999993,200,72.627977
-2486.700007,200,72.73198
-2966.100006,200,72.948357
-2790.199992,200,73.158626
-2940.799992,200,73.337586
-3596.700001,200,85.476801
-3471.999996,200,85.672158
-2955.299999,200,85.816581
-2774.399997,200,86.021493
-2614.399993,200,86.2459
-2448.899991,200,86.464366
-2012.099997,200,86.647077
-2237.900004,200,86.816854
-2634.2,200,86.963771
-2055.700006,200,87.138675
-3130.299989,200,87.409243
-2084.699997,200,87.563373
-2966.099996,200,87.674835
-2561.4,200,87.834423
-2660.499998,200,87.964795
-2453.800004,200,98.900382
-4516.399992,200,99.083701
-2049.200003,200,99.214735
-3773.799998,200,99.329735
-2328.800001,200,99.529124
-2371.500001,200,99.709771
-2532.999997,200,99.859766
-4588.899999,200,99.999352
-2404.699998,200,100.175632
-2285.499998,200,100.370241
-4124.599998,200,100.541775
-2006.0,200,100.733776
-2168.100001,200,100.876861
-2216.900005,200,101.027874
-3031.599998,200,101.24561
-2161.300004,200,112.589305
-3403.699994,200,112.799333
-2867.799996,200,113.018585
-2546.999988,200,113.153591
-4465.899993,200,113.278913
-4065.000001,200,113.511675
-2099.800002,200,113.734573
-2235.1,200,113.923447
-2785.600001,200,114.093194
-2540.700005,200,114.228743
-2312.400004,200,114.449967
-1896.2,200,114.656193
-2284.999992,200,114.941927
-2249.600003,200,115.122748
-3678.999993,200,115.33511
-2729.300004,200,127.46792
-2638.999999,200,127.669322
-2511.399998,200,127.820169
-2308.000002,200,127.988981
-2884.499999,200,128.245063
-1809.000002,200,128.568217
-2482.999999,200,128.783144
