#{"t_start": 1761635711.127257, "env_id": "None"}
r,l,t
1954.602891,200,21.68956
1953.416746,200,21.858529
2001.960387,200,22.03511
1961.46874,200,22.233908
1949.800475,200,22.391733
2031.147837,200,42.782634
2047.583116,200,42.967299
2042.539429,200,43.155817
2069.214821,200,43.376972
2067.202436,200,43.523669
2067.472348,200,62.854912
2027.256405,200,63.007648
2067.987483,200,63.209822
2013.667302,200,63.38138
2035.517022,200,63.589587
2031.557825,200,84.297681
2040.169937,200,84.498694
2045.811543,200,84.668045
2042.478415,200,84.799245
2008.664955,200,84.939828
2035.113849,200,106.361076
2031.001798,200,106.517433
2060.055757,200,106.731144
2046.711746,200,106.958047
2062.918025,200,107.140653
2055.668647,200,128.764926
2036.316258,200,128.907678
2028.629941,200,129.017973
2049.17016,200,129.182175
2036.277075,200,129.323079
2041.5682,200,150.258706
2038.179673,200,150.455063
2008.207422,200,150.762005
2055.482941,200,151.058157
2047.606889,200,151.267504
2080.848013,200,172.691433
2010.712064,200,172.866523
2041.134612,200,173.048306
2032.274523,200,173.246017
2059.536132,200,173.423373
2040.462396,200,192.578598
2029.565067,200,192.777201
2037.84712,200,192.947465
2044.346691,200,193.082271
2012.712973,200,193.250464
2059.263388,200,213.850733
2026.078926,200,214.037512
2043.148845,200,214.232989
2041.858802,200,214.359448
2090.021443,200,214.485288
2027.674042,200,236.796678
2036.534852,200,236.94346
2036.714717,200,237.096991
2026.914283,200,237.301858
2025.32399,200,237.495266
2068.292503,200,259.584642
2062.370214,200,259.751352
2045.160493,200,259.925697
2017.479477,200,260.089962
2041.247874,200,260.339206
2033.392126,200,282.584211
2055.473795,200,282.764024
2095.000223,200,282.942858
2073.763949,200,283.118267
2058.579932,200,283.277791
2044.391216,200,298.648123
2035.272396,200,298.73321
2005.669735,200,298.81584
2098.982469,200,298.900285
2067.117426,200,298.984191
2026.622455,200,310.843248
2035.889069,200,310.982768
2039.383365,200,311.181259
2092.915055,200,311.298014
2036.02972,200,311.41124
2031.645619,200,324.21893
2082.07702,200,324.319885
1980.251711,200,324.411314
1984.356575,200,324.502906
2076.903593,200,324.592666
2040.528318,200,337.754863
2039.362082,200,337.871831
2040.120972,200,337.975114
2056.264526,200,338.074034
2015.695282,200,338.169679
2021.876982,200,350.045226
2004.870061,200,350.135937
1991.92356,200,350.226909
2038.597458,200,350.313338
2015.374786,200,350.40178
2047.740314,200,363.285911
2034.485525,200,363.375333
1986.254374,200,363.469953
2036.147364,200,363.562783
1994.919872,200,363.655953
2038.595143,200,376.719542
2052.149571,200,376.807894
2034.669883,200,376.894589
2051.092492,200,376.985575
2054.84376,200,377.074309
2048.547043,200,390.151016
2037.650716,200,390.244924
2024.934052,200,390.333654
2090.54906,200,390.440776
2056.82409,200,390.536329
2069.706367,200,403.281622
2056.74287,200,403.371633
2057.182759,200,403.461215
2038.956606,200,403.544959
